"","X","Y","phase","predictions_gp","predictions_lin","lower_bound_gp","upper_bound_gp","stock","stock_type"
"284",284,0.16821354606121,"train",NA,NA,NA,NA,"PSA","real estate"
"285",285,0.166372631740431,"train",NA,NA,NA,NA,"PSA","real estate"
"286",286,0.169747641328526,"train",NA,NA,NA,NA,"PSA","real estate"
"287",287,0.173276060443354,"train",NA,NA,NA,NA,"PSA","real estate"
"288",288,0.180946536779934,"train",NA,NA,NA,NA,"PSA","real estate"
"289",289,0.184474955894761,"train",NA,NA,NA,NA,"PSA","real estate"
"290",290,0.179642555802715,"train",NA,NA,NA,NA,"PSA","real estate"
"291",291,0.181406765360129,"train",NA,NA,NA,NA,"PSA","real estate"
"292",292,0.183170974917542,"train",NA,NA,NA,NA,"PSA","real estate"
"293",293,0.195367032292705,"train",NA,NA,NA,NA,"PSA","real estate"
"294",294,0.185855641635346,"train",NA,NA,NA,NA,"PSA","real estate"
"295",295,0.179642555802715,"train",NA,NA,NA,NA,"PSA","real estate"
"296",296,0.173199355679988,"train",NA,NA,NA,NA,"PSA","real estate"
"297",297,0.180869832016568,"train",NA,NA,NA,NA,"PSA","real estate"
"298",298,0.191761908414513,"train",NA,NA,NA,NA,"PSA","real estate"
"299",299,0.200736365728312,"train",NA,NA,NA,NA,"PSA","real estate"
"300",300,0.202347165758994,"train",NA,NA,NA,NA,"PSA","real estate"
"301",301,0.209097184935184,"train",NA,NA,NA,NA,"PSA","real estate"
"302",302,0.210247756385672,"train",NA,NA,NA,NA,"PSA","real estate"
"303",303,0.210247756385672,"train",NA,NA,NA,NA,"PSA","real estate"
"304",304,0.215617089821278,"train",NA,NA,NA,NA,"PSA","real estate"
"305",305,0.212318784996548,"train",NA,NA,NA,NA,"PSA","real estate"
"306",306,0.227813147196441,"train",NA,NA,NA,NA,"PSA","real estate"
"307",307,0.230497813914244,"train",NA,NA,NA,NA,"PSA","real estate"
"308",308,0.227122804326149,"train",NA,NA,NA,NA,"PSA","real estate"
"309",309,0.232338728235023,"train",NA,NA,NA,NA,"PSA","real estate"
"310",310,0.189000536933343,"train",NA,NA,NA,NA,"PSA","real estate"
"311",311,0.199662499041191,"train",NA,NA,NA,NA,"PSA","real estate"
"312",312,0.191455089361049,"train",NA,NA,NA,NA,"PSA","real estate"
"313",313,0.209404003988648,"train",NA,NA,NA,NA,"PSA","real estate"
"314",314,0.196364194216461,"train",NA,NA,NA,NA,"PSA","real estate"
"315",315,0.197438060903582,"train",NA,NA,NA,NA,"PSA","real estate"
"316",316,0.199202270460996,"train",NA,NA,NA,NA,"PSA","real estate"
"317",317,0.18815678453632,"train",NA,NA,NA,NA,"PSA","real estate"
"318",318,0.197514765666948,"train",NA,NA,NA,NA,"PSA","real estate"
"319",319,0.189077241696709,"train",NA,NA,NA,NA,"PSA","real estate"
"320",320,0.203037508629286,"train",NA,NA,NA,NA,"PSA","real estate"
"321",321,0.199662499041191,"train",NA,NA,NA,NA,"PSA","real estate"
"322",322,0.19107156554422,"train",NA,NA,NA,NA,"PSA","real estate"
"323",323,0.187313032139296,"train",NA,NA,NA,NA,"PSA","real estate"
"324",324,0.182710746337348,"train",NA,NA,NA,NA,"PSA","real estate"
"325",325,0.195367032292705,"train",NA,NA,NA,NA,"PSA","real estate"
"326",326,0.203190918156017,"train",NA,NA,NA,NA,"PSA","real estate"
"327",327,0.188233489299685,"train",NA,NA,NA,NA,"PSA","real estate"
"328",328,0.184781774948224,"train",NA,NA,NA,NA,"PSA","real estate"
"329",329,0.203114213392652,"train",NA,NA,NA,NA,"PSA","real estate"
"330",330,0.201196594308507,"train",NA,NA,NA,NA,"PSA","real estate"
"331",331,0.192605660811536,"train",NA,NA,NA,NA,"PSA","real estate"
"332",332,0.200889775255043,"train",NA,NA,NA,NA,"PSA","real estate"
"333",333,0.22014267085986,"train",NA,NA,NA,NA,"PSA","real estate"
"334",334,0.206565927744113,"train",NA,NA,NA,NA,"PSA","real estate"
"335",335,0.195060213239242,"train",NA,NA,NA,NA,"PSA","real estate"
"336",336,0.197131241850119,"train",NA,NA,NA,NA,"PSA","real estate"
"337",337,0.184321546368029,"train",NA,NA,NA,NA,"PSA","real estate"
"338",338,0.180486308199739,"train",NA,NA,NA,NA,"PSA","real estate"
"339",339,0.181253355833397,"train",NA,NA,NA,NA,"PSA","real estate"
"340",340,0.177111298611644,"train",NA,NA,NA,NA,"PSA","real estate"
"341",341,0.183170974917542,"train",NA,NA,NA,NA,"PSA","real estate"
"342",342,0.191455089361049,"train",NA,NA,NA,NA,"PSA","real estate"
"343",343,0.19529032752934,"train",NA,NA,NA,NA,"PSA","real estate"
"344",344,0.201119889545141,"train",NA,NA,NA,NA,"PSA","real estate"
"345",345,0.194676689422413,"train",NA,NA,NA,NA,"PSA","real estate"
"346",346,0.192145432231341,"train",NA,NA,NA,NA,"PSA","real estate"
"347",347,0.182557336810616,"train",NA,NA,NA,NA,"PSA","real estate"
"348",348,0.179872670092813,"train",NA,NA,NA,NA,"PSA","real estate"
"349",349,0.20150341336197,"train",NA,NA,NA,NA,"PSA","real estate"
"350",350,0.195213622765974,"train",NA,NA,NA,NA,"PSA","real estate"
"351",351,0.200813070491678,"train",NA,NA,NA,NA,"PSA","real estate"
"352",352,0.197361356140216,"train",NA,NA,NA,NA,"PSA","real estate"
"353",353,0.191531794124415,"train",NA,NA,NA,NA,"PSA","real estate"
"354",354,0.189997698857099,"train",NA,NA,NA,NA,"PSA","real estate"
"355",355,0.188847127406612,"train",NA,NA,NA,NA,"PSA","real estate"
"356",356,0.189077241696709,"train",NA,NA,NA,NA,"PSA","real estate"
"357",357,0.194523279895681,"train",NA,NA,NA,NA,"PSA","real estate"
"358",358,0.194906803712511,"train",NA,NA,NA,NA,"PSA","real estate"
"359",359,0.201273299071872,"train",NA,NA,NA,NA,"PSA","real estate"
