"","X","Y","phase","predictions_gp","predictions_lin","lower_bound_gp","upper_bound_gp","stock","stock_type"
"331",331,0.0286890134796612,"train",NA,NA,NA,NA,"NVDA","information tech"
"332",332,0.0287742199349023,"train",NA,NA,NA,NA,"NVDA","information tech"
"333",333,0.0291150457558665,"train",NA,NA,NA,NA,"NVDA","information tech"
"334",334,0.0294132683492101,"train",NA,NA,NA,NA,"NVDA","information tech"
"335",335,0.0294984748044512,"train",NA,NA,NA,NA,"NVDA","information tech"
"336",336,0.0299245070806564,"train",NA,NA,NA,NA,"NVDA","information tech"
"337",337,0.0309895877711695,"train",NA,NA,NA,NA,"NVDA","information tech"
"338",338,0.0315008265026158,"train",NA,NA,NA,NA,"NVDA","information tech"
"339",339,0.0315860329578569,"train",NA,NA,NA,NA,"NVDA","information tech"
"340",340,0.0313304135921337,"train",NA,NA,NA,NA,"NVDA","information tech"
"341",341,0.0318842555512006,"train",NA,NA,NA,NA,"NVDA","information tech"
"342",342,0.0317990490959595,"train",NA,NA,NA,NA,"NVDA","information tech"
"343",343,0.0298733832075118,"train",NA,NA,NA,NA,"NVDA","information tech"
"344",344,0.0289872360730049,"train",NA,NA,NA,NA,"NVDA","information tech"
"345",345,0.0280499650653534,"train",NA,NA,NA,NA,"NVDA","information tech"
