"error","timepoint","model","stock","stock_type"
0.00430348273439231,112,"Linear","PSX","health care"
0.000571546167862007,112,"GP","PSX","health care"
0.0057414232596124,113,"Linear","PSX","health care"
0.000128724424323745,113,"GP","PSX","health care"
0.0044238395394549,114,"Linear","PSX","health care"
0.000366493394409492,114,"GP","PSX","health care"
0.00549945866497465,115,"Linear","PSX","health care"
0.000121078731807478,115,"GP","PSX","health care"
0.00508425987589371,116,"Linear","PSX","health care"
0.000144205649816361,116,"GP","PSX","health care"
0.00278255176666916,117,"Linear","PSX","health care"
0.000746635683306327,117,"GP","PSX","health care"
0.004063071553433,118,"Linear","PSX","health care"
0.000202258394220799,118,"GP","PSX","health care"
0.00295181304165933,119,"Linear","PSX","health care"
0.000418099214585013,119,"GP","PSX","health care"
0.00340296075465513,120,"Linear","PSX","health care"
0.000257656825320182,120,"GP","PSX","health care"
0.000553900534802692,121,"Linear","PSX","health care"
0.00234970931644868,121,"GP","PSX","health care"
0.00146812238725563,122,"Linear","PSX","health care"
0.000941936149846119,122,"GP","PSX","health care"
0.000519312441220864,123,"Linear","PSX","health care"
0.00164555826733866,123,"GP","PSX","health care"
0.00157651627867958,124,"Linear","PSX","health care"
0.000609602102829927,124,"GP","PSX","health care"
0.00143967828635545,125,"Linear","PSX","health care"
0.000582985900737337,125,"GP","PSX","health care"
2.76930635562117e-06,126,"Linear","PSX","health care"
0.00312664535543074,126,"GP","PSX","health care"
0.000331041941236616,127,"Linear","PSX","health care"
0.00521769018723402,127,"GP","PSX","health care"
3.88314152862611e-06,128,"Linear","PSX","health care"
0.00212686779502902,128,"GP","PSX","health care"
1.05710158265379e-05,129,"Linear","PSX","health care"
0.00182514778804176,129,"GP","PSX","health care"
0.000191464243325681,130,"Linear","PSX","health care"
0.000677516570160231,130,"GP","PSX","health care"
0.00022728150350926,131,"Linear","PSX","health care"
0.00059537895977329,131,"GP","PSX","health care"
0.000656374320611515,132,"Linear","PSX","health care"
9.56698901197123e-05,132,"GP","PSX","health care"
0.00179207393862452,133,"Linear","PSX","health care"
9.5615586417545e-05,133,"GP","PSX","health care"
0.00215113898772054,134,"Linear","PSX","health care"
0.000117870016976227,134,"GP","PSX","health care"
0.00144406164169406,135,"Linear","PSX","health care"
1.18696084749968e-05,135,"GP","PSX","health care"
0.00176932793990411,136,"Linear","PSX","health care"
4.87695750654713e-05,136,"GP","PSX","health care"
0.00300734953436492,137,"Linear","PSX","health care"
0.000629621595759477,137,"GP","PSX","health care"
0.00930620461334415,138,"Linear","PSX","health care"
0.00399441432092088,138,"GP","PSX","health care"
0.00696428175946674,139,"Linear","PSX","health care"
0.00198606796963113,139,"GP","PSX","health care"
0.00591079065294614,140,"Linear","PSX","health care"
0.00121532515838091,140,"GP","PSX","health care"
0.00497418409477794,141,"Linear","PSX","health care"
0.000697724237346696,141,"GP","PSX","health care"
0.0046342354058332,142,"Linear","PSX","health care"
0.000595641436508603,142,"GP","PSX","health care"
0.00151057182244697,143,"Linear","PSX","health care"
3.1700350917473e-05,143,"GP","PSX","health care"
0.00228224359697164,144,"Linear","PSX","health care"
6.92752043088723e-09,144,"GP","PSX","health care"
0.00188876511616826,145,"Linear","PSX","health care"
2.80325499036619e-06,145,"GP","PSX","health care"
0.00216523073067483,146,"Linear","PSX","health care"
2.33874209359057e-08,146,"GP","PSX","health care"
0.00200208496310096,147,"Linear","PSX","health care"
2.1140298233672e-05,147,"GP","PSX","health care"
0.00166708917456462,148,"Linear","PSX","health care"
9.39334290645615e-07,148,"GP","PSX","health care"
0.000839665974831741,149,"Linear","PSX","health care"
0.000393400388662801,149,"GP","PSX","health care"
0.00273213619691327,150,"Linear","PSX","health care"
3.73391766660959e-05,150,"GP","PSX","health care"
0.00250745313414184,151,"Linear","PSX","health care"
9.9056134053198e-06,151,"GP","PSX","health care"
0.00137088886047433,152,"Linear","PSX","health care"
0.000119979667558327,152,"GP","PSX","health care"
0.000595829035970703,153,"Linear","PSX","health care"
0.000638834364295837,153,"GP","PSX","health care"
0.000229052124988458,154,"Linear","PSX","health care"
0.000969979545292212,154,"GP","PSX","health care"
2.42225411159643e-05,155,"Linear","PSX","health care"
0.00116270079877518,155,"GP","PSX","health care"
4.63419608335505e-05,156,"Linear","PSX","health care"
0.00268608958337407,156,"GP","PSX","health care"
1.88169951576781e-05,157,"Linear","PSX","health care"
0.0023089581411904,157,"GP","PSX","health care"
0.00100773531927644,158,"Linear","PSX","health care"
0.00529720598006474,158,"GP","PSX","health care"
0.00191278257862061,159,"Linear","PSX","health care"
0.00584131933264342,159,"GP","PSX","health care"
0.00341053870012639,160,"Linear","PSX","health care"
0.00798889417793646,160,"GP","PSX","health care"
0.0033059989286388,161,"Linear","PSX","health care"
0.00631518050024699,161,"GP","PSX","health care"
0.00340406561513218,162,"Linear","PSX","health care"
0.00662212989723099,162,"GP","PSX","health care"
0.00523835040225723,163,"Linear","PSX","health care"
0.00813164747762595,163,"GP","PSX","health care"
0.00874905217630212,164,"Linear","PSX","health care"
0.0111498564050686,164,"GP","PSX","health care"
0.00989937136223506,165,"Linear","PSX","health care"
0.0114714002766175,165,"GP","PSX","health care"
0.0115708046191346,166,"Linear","PSX","health care"
0.0118910510806977,166,"GP","PSX","health care"
0.0113828264615752,167,"Linear","PSX","health care"
0.0104240854587336,167,"GP","PSX","health care"
0.0105100838102683,168,"Linear","PSX","health care"
0.00835277340143831,168,"GP","PSX","health care"
0.0136390425781314,169,"Linear","PSX","health care"
0.0102520047821381,169,"GP","PSX","health care"
0.0196881812264681,170,"Linear","PSX","health care"
0.0143356952247014,170,"GP","PSX","health care"
0.0183981554397748,171,"Linear","PSX","health care"
0.0112895781904655,171,"GP","PSX","health care"
0.0176677918776862,172,"Linear","PSX","health care"
0.00926156952669421,172,"GP","PSX","health care"
0.0149469844558229,173,"Linear","PSX","health care"
0.00702015695907794,173,"GP","PSX","health care"
0.0172187954830207,174,"Linear","PSX","health care"
0.00672832112932553,174,"GP","PSX","health care"
0.0177859793880644,175,"Linear","PSX","health care"
0.0056433707073163,175,"GP","PSX","health care"
0.018677043860725,176,"Linear","PSX","health care"
0.00575502739175112,176,"GP","PSX","health care"
0.0221057946656072,177,"Linear","PSX","health care"
0.00820445526288676,177,"GP","PSX","health care"
0.0223802570258783,178,"Linear","PSX","health care"
0.00684188083261349,178,"GP","PSX","health care"
0.0063562077811277,179,"Linear","PSX","health care"
6.25771011323484e-05,179,"GP","PSX","health care"
0.00554708890400295,180,"Linear","PSX","health care"
1.24685846636633e-08,180,"GP","PSX","health care"
0.00440101479014176,181,"Linear","PSX","health care"
0.000204720831615729,181,"GP","PSX","health care"
0.00471998608462756,182,"Linear","PSX","health care"
9.68313681029292e-05,182,"GP","PSX","health care"
0.00579102117653564,183,"Linear","PSX","health care"
4.36507772380438e-06,183,"GP","PSX","health care"
0.0070647630567636,184,"Linear","PSX","health care"
4.90971428221539e-05,184,"GP","PSX","health care"
0.00900370024527337,185,"Linear","PSX","health care"
0.000408421590028782,185,"GP","PSX","health care"
0.0085022118775088,186,"Linear","PSX","health care"
0.000142213005326196,186,"GP","PSX","health care"
0.00656135513707082,187,"Linear","PSX","health care"
2.8404284900882e-07,187,"GP","PSX","health care"
0.00923801111370961,188,"Linear","PSX","health care"
7.62526697018423e-05,188,"GP","PSX","health care"
0.00587570619394685,189,"Linear","PSX","health care"
3.07292390858122e-05,189,"GP","PSX","health care"
0.00596504280349018,190,"Linear","PSX","health care"
9.13618032949262e-06,190,"GP","PSX","health care"
0.0100621419220212,191,"Linear","PSX","health care"
0.00034481240556116,191,"GP","PSX","health care"
0.014919545814479,192,"Linear","PSX","health care"
0.00128045475185922,192,"GP","PSX","health care"
0.015310842917749,193,"Linear","PSX","health care"
0.00145897792821307,193,"GP","PSX","health care"
0.0194549921155299,194,"Linear","PSX","health care"
0.00298274580044216,194,"GP","PSX","health care"
0.0199945600450921,195,"Linear","PSX","health care"
0.00288141487212956,195,"GP","PSX","health care"
0.0196597682097169,196,"Linear","PSX","health care"
0.00204598489309046,196,"GP","PSX","health care"
0.0187401874772996,197,"Linear","PSX","health care"
0.0019098698034182,197,"GP","PSX","health care"
0.0147302921161904,198,"Linear","PSX","health care"
0.000692349247711029,198,"GP","PSX","health care"
0.013004993660963,199,"Linear","PSX","health care"
0.00031158681114194,199,"GP","PSX","health care"
0.0107797287368903,200,"Linear","PSX","health care"
6.17451156569404e-06,200,"GP","PSX","health care"
0.00962481866282906,201,"Linear","PSX","health care"
1.46496043005175e-06,201,"GP","PSX","health care"
0.00908494027328489,202,"Linear","PSX","health care"
2.2876043261297e-05,202,"GP","PSX","health care"
0.00967298755249148,203,"Linear","PSX","health care"
4.90487843652128e-07,203,"GP","PSX","health care"
0.00943047983402865,204,"Linear","PSX","health care"
2.42237720845408e-06,204,"GP","PSX","health care"
0.0134213785987954,205,"Linear","PSX","health care"
0.000336565345330648,205,"GP","PSX","health care"
0.0118229222221778,206,"Linear","PSX","health care"
7.96719228821124e-05,206,"GP","PSX","health care"
0.013185418325974,207,"Linear","PSX","health care"
0.000230555193247158,207,"GP","PSX","health care"
0.00960714036829433,208,"Linear","PSX","health care"
4.11220460579253e-06,208,"GP","PSX","health care"
0.014739680361336,209,"Linear","PSX","health care"
0.000502320767502555,209,"GP","PSX","health care"
0.0188652146689455,210,"Linear","PSX","health care"
0.00144297317710374,210,"GP","PSX","health care"
0.0353283465770972,211,"Linear","PSX","health care"
0.0075158777350321,211,"GP","PSX","health care"
0.03504252011606,212,"Linear","PSX","health care"
0.00737198538531159,212,"GP","PSX","health care"
0.0343980438488218,213,"Linear","PSX","health care"
0.0059467469410327,213,"GP","PSX","health care"
0.0395497398637269,214,"Linear","PSX","health care"
0.00755481521411412,214,"GP","PSX","health care"
0.0341104548017296,215,"Linear","PSX","health care"
0.00483968679397368,215,"GP","PSX","health care"
0.0357136787288907,216,"Linear","PSX","health care"
